Code,JavaDoc,Package
"@Nonnull
        public String getEndpoint()
        {
            return endpoint;
        }","/**
         * The voice server endpoint
         *
         * @return The endpoint
         */",net.dv8tion.jda.api.hooks
"public Router getRouter() {
        return router;
    }","/**
     * Return the {@link Router} tied to this resources object.
     *
     * @return a configured {@link Router} instance
     */",discord4j.rest
"public List<Role> getRoles()
    {
        return removedRoles;
    }","/**
     * The removed roles
     *
     * @return The removed roles
     */",net.dv8tion.jda.api.events.guild.member
"public static final Route CHANNEL_INVITE_CREATE = Route.post(""/channels/{channel.id}/invites"");","/**
     * Create a new invite object for the channel. Only usable for guild channels. Requires the CREATE_INSTANT_INVITE
     * permission. All JSON parameters for this route are optional, however the request body is not. If you are not
     * sending any fields, you still have to send an empty JSON object ({}). Returns an invite object.
     *
     * @see <a href=""https://discord.com/developers/docs/resources/channel#create-channel-invite"">
     * https://discord.com/developers/docs/resources/channel#create-channel-invite</a>
     */",discord4j.rest.route
"public static ReactionEmoji of(EmojiData data) {
        if (data.id().isPresent()) {
            return custom(Snowflake.of(data.id().get()),
                    data.name().orElse(null),
                    data.animated().toOptional().orElse(false));
        }
        return unicode(data.name().orElseThrow(IllegalArgumentException::new));
    }","/**
     * Constructs a {@code ReactionEmoji} from a {@link EmojiData} representation.
     *
     * @param data the {@link EmojiData} wrapper.
     * @return a reaction emoji using the given information.
     */",discord4j.core.object.reaction
"@Nonnull
    public static List<ActionRow> partitionOf(@Nonnull ItemComponent... components)
    {
        Checks.notNull(components, ""Components"");
        return partitionOf(Arrays.asList(components));
    }","/**
     * Partitions the provided {@link ItemComponent components} into a list of ActionRow instances.
     * <br>This will split the provided components by {@link Type#getMaxPerRow()} and create homogeneously typed rows,
     * meaning they will not have mixed component types.
     *
     * <p><b>Example</b>
     * <pre>{@code
     * List<ItemComponent> components = Arrays.asList(
     *   Button.primary(""id1"", ""Hello""),
     *   Button.secondary(""id2"", ""World""),
     *   SelectMenu.create(""menu:id"").build()
     * );
     *
     * List<ActionRow> partitioned = ActionRow.partition(components);
     * // partitioned[0] = ActionRow(button, button)
     * // partitioned[1] = ActionRow(selectMenu)
     * }</pre>
     *
     * @param  components
     *         The components to partition
     *
     * @throws IllegalArgumentException
     *         If null is provided
     *
     * @return {@link List} of {@link ActionRow}
     */",net.dv8tion.jda.api.interactions.components
"public RoleIcon(String iconId, String emoji, long roleId)
    {
        this.iconId = iconId;
        this.emoji = emoji;
        this.roleId = roleId;
    }",/** Template for {@link #getIconUrl()}. */,net.dv8tion.jda.api.entities
"public LegacyGuildEmojiEditSpec setName(String name) {
        this.name = Possible.of(name);
        return this;
    }","/**
     * Sets the name for the modified {@link GuildEmoji}.
     *
     * @param name The name for the emoji.
     * @return This spec.
     */",discord4j.core.spec.legacy
"public IntentSet getIntents() {
        return intents;
    }","/**
     * Returns an {@link IntentSet} containing the {@link discord4j.gateway.intent.Intent}s declared by the user
     *
     * @return The {@link IntentSet} tied to this {@link GatewayResources}
     */",discord4j.core
"public Set<Snowflake> getRoleIds() {
        return data.roles().stream()
                .map(Snowflake::of)
                .collect(Collectors.toSet());
    }","/**
     * Gets the user's guild roles' IDs.
     *
     * @return The user's guild roles' IDs.
     */",discord4j.core.object.command
List<OpenAPI> openAPIList = wrDoc.getTaggedOpenAPIs().get(tag);,"/**
	 * Generate the tag documentation.
	 * 
	 * @param root
	 *            the RootDoc of source to document.
	 * @param wrDoc
	 *            the data structure representing the doc to generate.
	 */",net.winroad.htmldoclet4jdk8
Mono<Void> onReady(Ready dispatch);,"/**
     * Updates the internal state of the store according to the given {@link Ready} gateway dispatch. This will
     * typically perform an insert operation on the {@link UserData} that represents the self-user, and allocate the
     * resources needed to receive further events happening on this shard index.
     *
     * @param dispatch the dispatch data coming from Discord gateway
     * @return a {@link Mono} completing when the operation is done
     */",discord4j.common.store.api.layout
"public Publisher<?> onScheduledEventUserAdd(ScheduledEventUserAddEvent event) {
        return Mono.empty();
    }","/**
     * Invoked when a user subscribes to a scheduled event.
     *
     * @param event the event instance
     * @return a {@link Publisher} that completes when this listener has done processing the event, for example,
     * returning any {@link Mono}, {@link Flux} or synchronous code using {@link Mono#fromRunnable(Runnable)}.
     */",discord4j.core.event
"@Nonnull
    Message getMessage();","/**
     * The {@link Message} instance.
     *
     * @return The {@link Message}
     */",net.dv8tion.jda.api.interactions.components
"public static final Route MESSAGE_GET = Route.get(""/channels/{channel.id}/messages/{message.id}"");","/**
     * Returns a specific message in the channel. If operating on a guild channel, this endpoints requires the
     * 'READ_MESSAGE_HISTORY' permission to be present on the current user. Returns a message object on success.
     *
     * @see <a href=""https://discord.com/developers/docs/resources/channel#get-channel-message"">
     * https://discord.com/developers/docs/resources/channel#get-channel-message</a>
     */",discord4j.rest.route
"public InteractionHandlerSpec guild(Function<GuildInteraction, InteractionHandler> guildInteractionHandlerFunction) {
        return new InteractionHandlerSpec(guildInteractionHandlerFunction, directInteractionHandlerFunction);
    }","/**
     * Set a guild interaction handler function. Any previous guild interaction handling function set will be
     * overridden.
     *
     * @param guildInteractionHandlerFunction a function to derive an {@link InteractionHandler} from a
     * {@link GuildInteraction}
     * @return this spec for chaining, call {@link #build()} to produce a complete handler
     */",discord4j.rest.interaction
"@Nonnull
        String getDescription();","/**
         * The description of this recommended channel shown in the welcome screen.
         *
         * @return The description of this recommended channel
         */",net.dv8tion.jda.api.entities
"public static GetPresencesAction getPresences() {
        return new GetPresencesAction();
    }","/**
     * Creates an action to retrieve data for all presences present in a store.
     *
     * @return a new {@link GetPresencesAction}
     */",discord4j.common.store.action.read
GatewayClientGroupManager getGroupManager(int shardCount);,"/**
     * Return the {@link GatewayClientGroupManager} to maintain each gateway client in the created group.
     *
     * @param shardCount the total number of shards
     * @return a {@link GatewayClientGroupManager} used by this strategy
     */",discord4j.core.shard
"public static <T> Function<Mono<T>, Publisher<T>> emptyOnStatus(int code) {
        return mono -> mono.onErrorResume(isStatusCode(code), t -> Mono.empty());
    }","/**
     * Transformation function that can be used within an operator such as {@link Mono#transform(Function)} or
     * {@link Mono#transformDeferred(Function)} to turn an error sequence matching the given HTTP status code, into
     * an empty
     * sequence, effectively suppressing the original error.
     *
     * @param code the status code that should be transformed into empty sequences
     * @param <T> the type of the response
     * @return a transformation function that converts error sequences into empty sequences
     */",discord4j.rest.http.client
"@Nonnull
    @CheckReturnValue
    MemberAction setNickname(@Nullable String nick);","/**
     * Sets the nickname of the user for the guild.
     * <br>This will then be visible with {@link net.dv8tion.jda.api.entities.Member#getNickname() Member.getNickname()}.
     *
     * @param  nick
     *         The nickname, or {@code null}
     *
     * @throws IllegalArgumentException
     *         If the provided nickname is longer than 32 characters
     *
     * @return The current MemberAction for chaining
     */",net.dv8tion.jda.api.requests.restaction
"public LegacyRoleEditSpec setName(String name) {
        requestBuilder.name(name);
        return this;
    }","/**
     * Sets the new name of the {@link Role}.
     *
     * @param name The role name.
     * @return This spec.
     */",discord4j.core.spec.legacy
long getPermissionsRaw();,"/**
     * The {@code long} representation of the literal permissions that this {@link net.dv8tion.jda.api.entities.Role Role} has.
     * <br><b>NOTE:</b> these do not necessarily represent the permissions this role will have in a {@link net.dv8tion.jda.api.entities.channel.middleman.GuildChannel GuildChannel}.
     *
     * @return Never-negative long containing offset permissions of this role.
     */",net.dv8tion.jda.api.entities
"public boolean getOldPending()
    {
        return getOldValue();
    }","/**
     * The old pending status
     *
     * @return The old pending status
     */",net.dv8tion.jda.api.events.guild.member.update
"public LegacyGuildCreateSpec setAfkTimeout(@Nullable Integer afkTimeout) {
        builder.afkTimeout(afkTimeout == null ? Possible.absent() : Possible.of(afkTimeout));
        return this;
    }","/**
     * Sets the AFK timeout, in seconds, for the created {@link Guild}.
     *
     * @param afkTimeout The AFK timeout, in seconds.
     * @return This spec.
     */",discord4j.core.spec.legacy
"public static GetGuildsAction getGuilds() {
        return new GetGuildsAction();
    }","/**
     * Creates an action to retrieve data for all guilds present in a store.
     *
     * @return a new {@link GetGuildsAction}
     */",discord4j.common.store.action.read
"the null case is handled with an exception
    public byte[] getAudioData(double volume)
    {
        return getAudioData(decode(), volume); // throws IllegalArgument if decode failed
    }","/**
     * Decodes and adjusts the opus audio for the specified volume.
     * <br>The provided volume should be a double precision floating point in the interval from 0 to 1.
     * In this case 0.5 would represent 50% volume for instance.
     *
     * @param  volume
     *         The volume
     *
     * @throws java.lang.IllegalArgumentException
     *         If {@link #decode()} returns null
     *
     * @return The stereo PCM audio data as specified by {@link net.dv8tion.jda.api.audio.AudioReceiveHandler#OUTPUT_FORMAT}.
     */",net.dv8tion.jda.api.audio
"@Nonnull
    @CheckReturnValue
    ChannelAction<MediaChannel> createMediaChannel(@Nonnull String name);","/**
     * Creates a new {@link MediaChannel} with this Category as parent.
     * For this to be successful, the logged in account has to have the
     * {@link net.dv8tion.jda.api.Permission#MANAGE_CHANNEL MANAGE_CHANNEL} Permission in this Category.
     *
     * <p>This will copy all {@link net.dv8tion.jda.api.entities.PermissionOverride PermissionOverrides} of this Category!
     * Unless the bot is unable to sync it with this category due to permission escalation.
     * See {@link IPermissionHolder#canSync(IPermissionContainer, IPermissionContainer)} for details.
     *
     * <p>Possible {@link net.dv8tion.jda.api.requests.ErrorResponse ErrorResponses} caused by
     * the returned {@link net.dv8tion.jda.api.requests.RestAction RestAction} include the following:
     * <ul>
     *     <li>{@link net.dv8tion.jda.api.requests.ErrorResponse#MISSING_PERMISSIONS MISSING_PERMISSIONS}
     *     <br>The channel could not be created due to a permission discrepancy</li>
     *
     *     <li>{@link net.dv8tion.jda.api.requests.ErrorResponse#MISSING_ACCESS MISSING_ACCESS}
     *     <br>The {@link net.dv8tion.jda.api.Permission#VIEW_CHANNEL VIEW_CHANNEL} permission was removed</li>
     *
     *     <li>{@link net.dv8tion.jda.api.requests.ErrorResponse#MAX_CHANNELS MAX_CHANNELS}
     *     <br>The maximum number of channels were exceeded</li>
     * </ul>
     *
     * @param  name
     *         The name of the MediaChannel to create (up to {@value Channel#MAX_NAME_LENGTH} characters)
     *
     * @throws net.dv8tion.jda.api.exceptions.InsufficientPermissionException
     *         If the logged in account does not have the {@link net.dv8tion.jda.api.Permission#MANAGE_CHANNEL} permission
     * @throws IllegalArgumentException
     *         If the provided name is {@code null}, empty, or longer than {@value Channel#MAX_NAME_LENGTH} characters
     *
     * @return A specific {@link ChannelAction ChannelAction}
     *         <br>This action allows to set fields for the new MediaChannel before creating it
     */",net.dv8tion.jda.api.entities.channel.concrete
"@Override
        public String toString() {
            return ""[sequence]"";
        }","/**
     * Propagated when the current session sequence value has updated.
     */",discord4j.gateway
void logout();,"/**
     * Caches the kills and deaths of a player.
     */",com.massivecraft.factions
String getTag();,"/**
     * Gets the Tag's string representation.
     *
     * @return tag
     */",com.massivecraft.factions.tag
"public static GuildMembersChunkAction guildMembersChunk(int shardIndex, GuildMembersChunk dispatch) {
        return new GuildMembersChunkAction(shardIndex, dispatch);
    }","/**
     * Creates an action to execute when a {@link GuildMembersChunk} is received from the gateway.
     *
     * @param shardIndex the index of the shard where the dispatch comes from
     * @param dispatch   the dispatch data coming from Discord gateway
     * @return a new {@link GuildMembersChunkAction}
     */",discord4j.common.store.action.gateway
"@Nonnull
        static Channel of(@Nonnull StandardGuildChannel channel, @Nonnull String description, @Nullable Emoji emoji)
        {
            Checks.notNull(channel, ""Channel"");
            Checks.notBlank(description, ""Description"");
            Checks.notLonger(description, MAX_DESCRIPTION_LENGTH, ""Description"");

            return new GuildWelcomeScreenImpl.ChannelImpl(channel.getGuild(), channel.getIdLong(), description, (EmojiUnion) emoji);
        }","/**
         * Constructs a new welcome channel.
         *
         * @param  channel
         *         The Discord channel to be presented the user
         * @param  description
         *         The description of the channel, must not be longer than {@value #MAX_DESCRIPTION_LENGTH}
         * @param  emoji
         *         The emoji to show beside the channel
         *
         * @throws IllegalArgumentException
         *         <ul>
         *             <li>If the channel is null</li>
         *             <li>If the description is null, blank, or longer than {@value #MAX_DESCRIPTION_LENGTH}</li>
         *         </ul>
         *
         * @return The new welcome channel
         */",net.dv8tion.jda.api.entities
"public DefaultShardingStrategy(Builder builder) {
        this.count = builder.shardCount;
        this.indexSource = builder.shardIndexSource;
        this.filter = builder.shardFilter;
        this.maxConcurrency = builder.maxConcurrency;
    }","/**
     * Value representing the use of a recommended amount of shards.
     */",discord4j.core.shard
"@Nonnull
    @CheckReturnValue
    public static <E> Result<E> failure(@Nonnull Throwable error)
    {
        Checks.notNull(error, ""Error"");
        return new Result<>(null, error);
    }","/**
     * Creates a failure result.
     *
     * @param  error
     *         The failure throwable
     * @param  <E>
     *         The success type
     *
     * @throws IllegalArgumentException
     *         If the provided error is null
     *
     * @return Result
     */",net.dv8tion.jda.api.utils
"public final String getCode() {
        return code;
    }","/**
     * Gets the invite code (unique ID).
     *
     * @return The invite code (unique ID).
     */",discord4j.core.event.domain
boolean isRoleOverride();,"/**
     * Used to determine if this PermissionOverride relates to
     * a specific {@link net.dv8tion.jda.api.entities.Role Role}.
     *
     * @return True if this override is a role override.
     */",net.dv8tion.jda.api.entities
"public Mono<MessageData> executeWebhook(long webhookId, String token, boolean wait, long threadId,
                                            MultipartRequest<? extends WebhookExecuteRequest> request) {
        return Routes.WEBHOOK_EXECUTE
            .newRequest(webhookId, token)
            .query(""wait"", wait)
            .query(""thread_id"", threadId)
            .header(""content-type"", request.getFiles().isEmpty() ? ""application/json"" : ""multipart/form-data"")
            .body(Objects.requireNonNull(request.getFiles().isEmpty() ? request.getJsonPayload() : request))
            .exchange(getRouter())
            .bodyToMono(MessageData.class);
    }","/**
     * Executes the specified webhook.
     *
     * @param wait true if you want to return message data and errors for the webhook.
     * @param threadId specify the thread id within a webhook's channel.
     * @return If wait is true, a mono that contains the message information of the execution or an
     * error if the webhook is unsuccessful. If wait is false, the mono completes as soon as the request
     * is finished sending, and DOES NOT result in an error if the message is not saved.
     */",discord4j.rest.service
"public Publisher<?> onRoleCreate(RoleCreateEvent event) {
        return Mono.empty();
    }","/**
     * Invoked when a role is created in a guild.
     *
     * @param event the event instance
     * @return a {@link Publisher} that completes when this listener has done processing the event, for example,
     * returning any {@link Mono}, {@link Flux} or synchronous code using {@link Mono#fromRunnable(Runnable)}.
     */",discord4j.core.event
"public static boolean getBoolean(@Nonnull DataObject root, @Nonnull String path)
    {
        Boolean bool = get(root, path, DataObject::getBoolean, DataArray::getBoolean);
        return bool != null && bool;
    }","/**
     * Parses the given {@code path} and finds the appropriate value within this {@link DataObject}.
     *
     * @param  root
     *         The root data object, which is the top level accessor.
     *         <br>The very first element in the path corresponds to a field of that name within this root object.
     * @param  path
     *         The path of the value, in accordance with the described grammar by {@link DataPath}.
     *         This must start with a name element, such as {@code ""foo""}.
     *
     * @throws ParsingException
     *         If the path is invalid or resolving fails due to missing elements
     * @throws IndexOutOfBoundsException
     *         If any of the elements in the path refer to an array index that is out of bounds
     * @throws IllegalArgumentException
     *         If null is provided or the path is empty
     *
     * @return The boolean value at the given path, if declared as optional this returns false when the value is missing.
     */",net.dv8tion.jda.api.utils.data
"public static GetRolesInGuildAction getRolesInGuild(long guildId) {
        return new GetRolesInGuildAction(guildId);
    }","/**
     * Creates an action to retrieve data for all roles present in a store for the given guild ID.
     *
     * @param guildId the guild ID
     * @return a new {@link GetRolesInGuildAction}
     */",discord4j.common.store.action.read
"@Nonnull
    @CheckReturnValue
    default MessageEditCallbackAction editMessageAttachments(@Nonnull Collection<? extends AttachedFile> attachments)
    {
        Checks.noneNull(attachments, ""Attachments"");
        return deferEdit().setAttachments(attachments);
    }","/**
     * Acknowledgement of this interaction with a message update.
     * <br>You can use {@link #getHook()} to edit the message further.
     *
     * <p><b>You can only use deferEdit() or editMessage() once per interaction!</b> Use {@link #getHook()} for any additional updates.
     *
     * <p><b>You only have 3 seconds to acknowledge an interaction!</b>
     * <br>When the acknowledgement is sent after the interaction expired, you will receive {@link net.dv8tion.jda.api.requests.ErrorResponse#UNKNOWN_INTERACTION ErrorResponse.UNKNOWN_INTERACTION}.
     *
     * <p><b>Resource Handling Note:</b> Once the request is handed off to the requester, for example when you call {@link RestAction#queue()},
     * the requester will automatically clean up all opened files by itself. You are only responsible to close them yourself if it is never handed off properly.
     * For instance, if an exception occurs after using {@link FileUpload#fromData(File)}, before calling {@link RestAction#queue()}.
     * You can safely use a try-with-resources to handle this, since {@link FileUpload#close()} becomes ineffective once the request is handed off.
     *
     * @param  attachments
     *         The new attachments of the message (Can be {@link FileUpload FileUploads} or {@link net.dv8tion.jda.api.utils.AttachmentUpdate AttachmentUpdates})
     *
     * @throws IllegalArgumentException
     *         If null is provided
     *
     * @return {@link MessageEditCallbackAction} that can be used to further update the message
     *
     * @see    AttachedFile#fromAttachment(Message.Attachment)
     * @see    FileUpload#fromData(InputStream, String)
     */",net.dv8tion.jda.api.interactions.callbacks
"@Override
        long getIdLong();","/**
         * The id of this recommended channel.
         *
         * @return The id of this recommended channel
         */",net.dv8tion.jda.api.entities
"@Deprecated
    public Optional<String> getNewDiscriminator() {
        return user.discriminator().toOptional();
    }","/**
     * Gets the {@link User}'s new discriminator, if present.
     * This may not exist if the {@code User}'s discriminator has not been changed.
     *
     * @return The {@link User}'s new discriminator, if present.
     * @deprecated This method will be removed once the system change is complete.
     */",discord4j.core.event.domain
"public Builder setJitterFactor(double jitterFactor) {
            if (jitterFactor < 0d || jitterFactor > 1d) {
                throw new IllegalArgumentException(""Invalid jitter factor value"");
            }
            this.jitterFactor = jitterFactor;
            return this;
        }","/**
         * Set a jitter factor for exponential backoff that adds randomness to each backoff. Defaults to {@code 0.5}
         * (a jitter of at most 50% of the computed delay)
         *
         * @param jitterFactor the new jitter factor as a {@code double} between {@code 0d} and {@code 1d}
         * @return this builder
         */",discord4j.common.retry
"public static final Route GUILD_CHANNEL_POSITIONS_MODIFY = Route.patch(""/guilds/{guild.id}/channels"");","/**
     * Modify the positions of a set of role objects for the guild. Requires the 'MANAGE_ROLES' permission. Returns a
     * list of all of the guild's role objects on success. Fires multiple Guild Role Update Gateway events.
     *
     * @see <a href=""https://discord.com/developers/docs/resources/guild#modify-guild-channel-positions"">
     * https://discord.com/developers/docs/resources/guild#modify-guild-channel-positions</a>
     */",discord4j.rest.route
long getInherited();,"/**
     * The currently set of inherited permission bits.
     * <br>This value represents all permissions that are not explicitly allowed or denied
     * in their raw bitwise representation.
     * <br>Inherited Permissions are permissions that are defined by other rules
     * from maybe other PermissionOverrides or a Role.
     *
     * <p>Use {@link #getInheritedPermissions()} to retrieve a {@link java.util.List List}
     * with {@link net.dv8tion.jda.api.Permission Permissions} for this value
     *
     * @return long value of inherited permissions
     */",net.dv8tion.jda.api.requests.restaction
"public Set<Snowflake> getRecipientIds() {
        return getData().recipients().toOptional()
            .map(recipients -> recipients.stream()
                .map(UserData::id)
                .map(Snowflake::of)
                .collect(Collectors.toSet()))
            .orElse(Collections.emptySet());
    }","/**
     * Gets the IDs of the recipients for this private channel.
     *
     * @return The IDs of the recipients for this private channel.
     */",discord4j.core.object.entity.channel
"@Nonnull
        public EnumSet<Permission> getDenied()
        {
            return Permission.getPermissions(deny);
        }","/**
         * EnumSet of all {@link net.dv8tion.jda.api.Permission Permissions} that are denied by this override.
         * <br><u>Changes to the returned set do not affect this entity directly.</u>
         *
         * @return Possibly-empty set of denied {@link net.dv8tion.jda.api.Permission Permissions}.
         */",net.dv8tion.jda.api.entities.templates
long getIntegrationIdLong();,"/**
         * The id for the integration associated with this role.
         *
         * @return The integration id, or 0 if this role is not for an integration
         *
         * @see    #isIntegration()
         */",net.dv8tion.jda.api.entities
"public static GetEmojiByIdAction getEmojiById(long guildId, long emojiId) {
        return new GetEmojiByIdAction(guildId, emojiId);
    }","/**
     * Creates an action to retrieve data for the emoji corresponding to the given guild ID and emoji ID.
     *
     * @param guildId the guild ID
     * @param emojiId the emoji ID
     * @return a new {@link GetEmojiByIdAction}
     */",discord4j.common.store.action.read
"@Nonnull
    default ImageProxy getDefaultAvatar()
    {
        return new ImageProxy(getDefaultAvatarUrl());
    }","/**
     * Returns an {@link ImageProxy} for this user's default avatar.
     *
     * @return Never-null {@link ImageProxy} of this user's default avatar
     *
     * @see    #getDefaultAvatarUrl()
     */",net.dv8tion.jda.api.entities
"@Nonnull
    public EnumSet<Permission> getNewPermissions()
    {
        return getNewValue();
    }","/**
     * The new permissions
     *
     * @return The new permissions
     */",net.dv8tion.jda.api.events.role.update
"@Nonnull
    @Override
    RoleManager reset(long... fields);","/**
     * Resets the fields specified by the provided bit-flag patterns.
     * <br>Example: {@code manager.reset(RoleManager.COLOR, RoleManager.NAME);}
     *
     * <p><b>Flag Constants:</b>
     * <ul>
     *     <li>{@link #NAME}</li>
     *     <li>{@link #COLOR}</li>
     *     <li>{@link #PERMISSION}</li>
     *     <li>{@link #HOIST}</li>
     *     <li>{@link #MENTIONABLE}</li>
     *     <li>{@link #ICON}</li>
     * </ul>
     *
     * @param  fields
     *         Integer values containing the flags to reset.
     *
     * @return RoleManager for chaining convenience
     */",net.dv8tion.jda.api.managers
void setClassic(long timestamp);,"/**
         * Set the current global rate-limit reset time.
         * <br>This is the rate-limit applied on the bot token.
         *
         * @param timestamp
         *        The timestamp when the global rate-limit expires (unix timestamp in milliseconds)
         */",net.dv8tion.jda.api.requests
"@Nullable
    default String getAlertMessageId()
    {
        long id = getAlertMessageIdLong();
        return id == 0L ? null : Long.toUnsignedString(getAlertMessageIdLong());
    }","/**
     * The id of the alert {@link net.dv8tion.jda.api.entities.Message Message} sent to the alert channel.
     *
     * @return The id of the alert message, or {@code null} if {@link AutoModResponse#getType()} is not {@link AutoModResponse.Type#SEND_ALERT_MESSAGE}
     */",net.dv8tion.jda.api.entities.automod
"default Mono<Guild> getGuild() {
        return getClient().getGuildById(getGuildId());
    }","/**
     * Requests to retrieve the guild this channel is associated to.
     *
     * @return A {@link Mono} where, upon successful completion, emits the {@link Guild guild} this channel is
     * associated to. If an error is received, it is emitted through the {@code Mono}.
     */",discord4j.core.object.entity.channel
"public static final Route CURRENT_MEMBER_MODIFY = Route.patch(""/guilds/{guild.id}/members/@me"");","/**
     * Modifies the current member in a guild. Returns a 200 with the updated member on success. Fires a Guild
     * Member Update Gateway event.
     *
     * @see <a href=""https://discord.com/developers/docs/resources/guild#modify-current-member"">Discord</a>
     */",discord4j.rest.route
public abstract ItemStack buildGuiItem(Faction faction);,"/**
     * Method to build the item that will appear in upgrade menu. You can return guiItem instance variable.
     *
     * @param faction faction
     * @return ItemStack
     */",com.massivecraft.factions.addon.upgradeaddon
"@Nonnull
    DataObject toData();","/**
     * Serialized {@link net.dv8tion.jda.api.utils.data.DataObject} for this object.
     *
     * @return {@link net.dv8tion.jda.api.utils.data.DataObject}
     */",net.dv8tion.jda.api.utils.data
"@Nonnull
    public Map<String, AuditLogChange> getChanges()
    {
        return changes;
    }","/**
     * Key-Value {@link java.util.Map Map} containing all {@link AuditLogChange
     * AuditLogChanges} made in this entry.
     * The keys for the returned map are case-insensitive keys defined in the regarding AuditLogChange value.
     * <br>To iterate only the changes you can use {@link java.util.Map#values() Map.values()}!
     *
     * @return Key-Value Map of changes
     */",net.dv8tion.jda.api.audit
"@RequestMapping(value = ""list"", method = RequestMethod.GET)
    public Flux<CityGetDTO> list() {
        return service.list();
    }","/**
     * This method is used to return the result.
     *
     * @return Flux<CityGetDTO>
     * @since 1.0
     */",org.khasanof.citiesapi.controller.city
"default void setContextMap(@CheckForNull ConcurrentMap<String, String> contextMap) {}","/**
     * Called with the internal JDA {@link org.slf4j.MDC MDC} context map.
     * <br>This is guaranteed to be called before {@link #start()}.
     *
     * @param contextMap
     *        The JDA internal MDC context map, or {@code null} if disabled
     */",net.dv8tion.jda.api.audio.factory
"public ExchangeStrategies build() {
            return new DefaultExchangeStrategies(writerStrategies, readerStrategies);
        }","/**
         * Builds the {@link discord4j.rest.http.ExchangeStrategies}
         *
         * @return the built strategies
         */",discord4j.rest.http
"@Deprecated
    Mono<VoiceServerOptions> onVoiceServerUpdate(Snowflake guildId);","/**
     * Return a Mono sequence containing an eventual {@link VoiceServerOptions} instance indicating a voice server
     * update payload was received from the gateway connection for the given guild.
     *
     * @param guildId the guild ID listening for voice server updates
     * @return a Mono with a VoiceServerOptions payload
     * @deprecated for removal in future versions, migrate to {@link #onVoiceServerUpdates(Snowflake)} as voice clients
     * can receive multiple voice server updates throughout their lifecycle
     */",discord4j.voice
"public Mono<Void> delete(@Nullable final String reason) {
        return gateway.getRestClient().getChannelService()
                .deleteChannelPermission(channelId, getTargetId().asLong(), reason);
    }","/**
     * Requests to delete this permission overwrite while optionally specifying a reason.
     *
     * @param reason The reason, if present.
     * @return A {@link Mono} where, upon successful completion, emits nothing; indicating the permission overwrite has
     * been deleted. If an error is received, it is emitted through the {@code Mono}.
     */",discord4j.core.object
"@Nonnull
    @CheckReturnValue
    RoleAction setMentionable(@Nullable Boolean mentionable);","/**
     * Sets whether the new role should be mentionable by members of
     * the parent {@link net.dv8tion.jda.api.entities.Guild Guild}.
     *
     * @param  mentionable
     *         Whether the new role should be mentionable. Default is {@code false}
     *
     * @return The current RoleAction, for chaining convenience
     */",net.dv8tion.jda.api.requests.restaction
"static RetryingTransformer retryOnceOnErrorStatus(RouteMatcher routeMatcher, Integer... codes) {
        return new RetryingTransformer(routeMatcher,
            RetryBackoffSpec.backoff(1, Duration.ofSeconds(1))
                .filter(exception -> ClientException.isStatusCode(codes).test(exception)));
    }","/**
     * Applies a retry strategy to retry <strong>once</strong> with a fixed backoff of 1 second to the given
     * <strong>error</strong> status codes caused by requests matching the given {@link RouteMatcher}, effectively
     * suppressing the {@link ClientException} that would be forwarded otherwise.
     * <p>
     * Only a subset of HTTP status codes is supported, like all the ones from 400 and 500 series, except for the 429
     * (Too Many Requests) error that is handled upstream.
     * <p>
     * Please note that if you specify error codes 502, 503 or 504 you will replace a built-in retry factory that
     * handles Discord service errors using an exponential backoff with jitter strategy.
     *
     * @param routeMatcher the {@link RouteMatcher} determining whether to match a particular request
     * @param codes the list of HTTP status codes to match when applying this transformation
     * @return a {@link ResponseFunction} that transforms matching response statuses into sequence that retries the
     * request once after waiting 1 second.
     */",discord4j.rest.response
"public Optional<User> getInviter() {
        return Optional.ofNullable(inviter);
    }","/**
     * Gets the user that created the invite, if present.
     *
     * @return The user that created the invite, if present.
     */",discord4j.core.event.domain
"public ImageProxy(@Nonnull String url)
    {
        super(url);
    }","/**
     * Constructs a new {@link ImageProxy} for the provided URL.
     *
     * @param  url
     *         The URL to download the image from
     *
     * @throws IllegalArgumentException
     *         If the provided URL is null
     */",net.dv8tion.jda.api.utils
"@Nonnull
    @CheckReturnValue
    default AutoCompleteCallbackAction addChoice(@Nonnull String name, long value)
    {
        return addChoices(new Command.Choice(name, value));
    }","/**
     * Add up to {@value OptionData#MAX_CHOICES} choices which can be picked from by the user.
     * <br>The user may continue writing inputs instead of using one of your choices.
     *
     * @param  name
     *         The choice name to show to the user, 1-{@value OptionData#MAX_CHOICE_NAME_LENGTH} characters
     * @param  value
     *         The choice value, must be between {@value OptionData#MIN_NEGATIVE_NUMBER} and {@value OptionData#MAX_POSITIVE_NUMBER}
     *
     * @throws IllegalArgumentException
     *         <ul>
     *             <li>If {@code null} is provided</li>
     *             <li>If more than {@value OptionData#MAX_CHOICES} choices are added</li>
     *             <li>If the choice name is empty or longer than {@value OptionData#MAX_CHOICE_NAME_LENGTH}</li>
     *             <li>If the option type is incompatible with the choice type</li>
     *             <li>If the value is not between {@value OptionData#MIN_NEGATIVE_NUMBER} and {@value OptionData#MAX_POSITIVE_NUMBER}</li>
     *         </ul>
     *
     * @return The same callback action, for chaining convenience
     */",net.dv8tion.jda.api.requests.restaction.interactions
